Title,Price,Location,Year,Link,Mileage,Fuel,Engine,Transmission,Last_updated,Image_url
Toyota Corolla  2016 GLi 1.3 VVTi,PKR 35 lacs,Sahiwal,2016,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-sahiwal-10053437,"110,000 km",Petrol,1300 cc,Manual,Updated about 5 hours ago,https://cache3.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-2016-121164963.webp
Toyota Corolla  2016 GLi 1.3 VVTi,PKR 35 lacs,Sahiwal,2016,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-sahiwal-10053419,"110,000 km",Petrol,1300 cc,Manual,Updated about 5 hours ago,https://cache2.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-2016-121164702.webp
Toyota Corolla  2016 GLi Automatic 1.3 VVTi,PKR 45 lacs,Islamabad,2016,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-islamabad-10053342,"144,357 km",Petrol,1300 cc,Automatic,Updated about 6 hours ago,https://cache1.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-automatic-2016-121163488.webp
Toyota Corolla  2015 GLi Automatic 1.3 VVTi,PKR 33.85 lacs,Karachi,2015,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-karachi-10053283,"75,000 km",Petrol,1300 cc,Automatic,Updated about 6 hours ago,https://cache4.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-automatic-2015-121161960.webp
Toyota Corolla  2013 GLi Limited Edition 1.3 VVTi,PKR 32.4 lacs,Islamabad,2013,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-islamabad-10053080,"74,000 km",Petrol,1300 cc,Manual,Updated about 6 hours ago,https://cache4.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-limited-edition-2013-121159026.webp
Toyota Corolla  2013 GLi 1.3 VVTi,PKR 32.8 lacs,Islamabad,2013,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-islamabad-10053227,"170,000 km",Petrol,1300 cc,Manual,Updated about 6 hours ago,https://cache1.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-2013-121161467.webp
Toyota Corolla  2014 GLi 1.3 VVTi,PKR 27.7 lacs,Islamabad,2014,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-islamabad-10053168,"210,000 km",Petrol,1300 cc,Manual,Updated about 6 hours ago,https://cache1.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-2014-121160902.webp
Toyota Corolla  2013 GLi 1.3 VVTi,PKR 25.3 lacs,Karachi,2013,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-karachi-10052950,"125,000 km",Petrol,1300 cc,Manual,Updated about 7 hours ago,https://cache1.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-2013-121157285.webp
Toyota Corolla  2016 GLi Automatic 1.3 VVTi,PKR 38.5 lacs,Faisalabad,2016,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-faisalabad-9785462,"80,000 km",Petrol,1300 cc,Automatic,Updated about 8 hours ago,https://cache1.pakwheels.com/ad_pictures/1173/toyota-corolla-gli-vvti-automatic-2016-117348166.webp
Toyota Corolla  2015 GLi Automatic 1.3 VVTi,PKR 39 lacs,Islamabad,2015,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-islamabad-10052629,100 km,Petrol,1300 cc,Automatic,Updated about 8 hours ago,https://cache4.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-automatic-2015-121152218.webp
